month,baseline_month,basin_id,mask,ndvi_median,ndvi_median_baseline,ndvi_delta,valid_frac,valid_frac_baseline,confirmed_patches,confirmed_area_ha,provisional_patches,baseline_rate,baseline_n,baseline_basis,anomaly_ratio,insufficient_clear_sky,provenance
2025-07,2024-07,CC-UP-503,,0.6333,0.6348,-0.0015,1.0,1.0,0,0,1,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2025-07,2024-07,CC-MS-1100,,0.6296,0.6342,-0.0046,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2025-07,2024-07,CC-TIL-705,,0.6254,0.6301,-0.0047,1.0,1.0,0,0,1,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2025-07,2024-07,CC-SPD-1830,,0.5343,0.5242,0.0101,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2025-07,2024-07,CC-COX-097,,0.5978,0.6093,-0.0115,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2025-07,2024-07,CC-LB-171,,0.5986,0.6081,-0.0095,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2025-07,2024-07,CC-WCU-2260,,0.5691,0.5758,-0.0067,1.0,1.0,0,0,2,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2025-07,2024-07,CC-MOUTH-2340,,0.5626,0.564,-0.0014,1.0,0.9998,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2026-07,2025-07,CC-UP-503,,0.6331,0.6333,-0.0002,1.0,1.0,0,0,2,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2026-07,2025-07,CC-MS-1100,,0.6298,0.6296,0.0002,1.0,1.0,0,0,2,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2026-07,2025-07,CC-TIL-705,,0.627,0.6254,0.0016,1.0,1.0,0,0,6,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2026-07,2025-07,CC-SPD-1830,,0.5454,0.5343,0.0111,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2026-07,2025-07,CC-COX-097,,0.6077,0.5978,0.0099,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2026-07,2025-07,CC-LB-171,,0.6115,0.5986,0.0129,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2026-07,2025-07,CC-WCU-2260,,0.5676,0.5691,-0.0015,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2026-07,2025-07,CC-MOUTH-2340,,0.5595,0.5626,-0.0031,1.0,1.0,0,0,1,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2024-10,2023-10,CC-UP-503,,0.5025,0.5186,-0.0161,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2024-10,2023-10,CC-MS-1100,,0.5183,0.5196,-0.0013,1.0,1.0,0,0,1,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2024-10,2023-10,CC-TIL-705,,0.513,0.503,0.01,1.0,1.0,0,0,2,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2024-10,2023-10,CC-SPD-1830,,0.4441,0.4049,0.0392,1.0,1.0,0,0,1,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2024-10,2023-10,CC-COX-097,,0.4887,0.4514,0.0373,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2024-10,2023-10,CC-LB-171,,0.4895,0.4611,0.0284,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
2024-10,2023-10,CC-WCU-2260,,0.4583,0.4201,0.0382,1.0,1.0,0,0,0,,,,,False,"DERIVED: Sentinel-2 L2A NDVI, same-month YoY, drop<=-0.15, min 0.5 ha, 2-month persistence. NOT a model input."
